Band,pa11_b,pa24,pa24c,pa8,pas10,pas3b,pas3c,pas5,pas8,gc2_3a,gc2_4a,gc2_4b,gc2_4c,gc2_7a,gc2_7b,gc2_7c,gc2_18a,gc2_18b,gc2_18c,gc2_18d,gc2_18e,gc2_18f,gc2_27a,gc2_27b,gc_28aA,gc_28aB,gc2_29,gc2_29A,prob27_28,prob28,prob28_29,prob29,prob30,prob31,prob31_32,prob32
544,0.0287155387608028,0.009947223926669756,0.016444736910238372,0.015550048562018023,0.03336691943710871,0.01704161423729504,0.01647636737244468,0.033330928323215055,0.02238455555724268,0.031567045109048765,0.01937820512953165,0.02008451739534197,0.017585584596378927,0.01311640335396002,0.011114817861625086,0.011921494071033465,0.014275182973741246,0.015372568923035053,0.01582471503650473,0.01946774165774552,0.02092227671256197,0.017073402294273232,0.01869714351323958,0.018264411767315823,0.01842513235371556,0.018290612334617554,0.011550068855565867,0.016966291148797805,0.020696371135444397,0.020677344213578953,0.01968057184491358,0.02132199888742492,0.02043079921673813,0.020107492233254386,0.019907176919371584,0.025884285089211315
547,0.02869434713598858,0.009445242739864695,0.01602664416044641,0.01497213760213225,0.03323458957719207,0.017116809118904983,0.016387631479038926,0.032989303425089586,0.022120860214391663,0.03101365934105803,0.018981420751364893,0.01958355284350521,0.017111817954723104,0.012801026855609911,0.010849924885344198,0.011640157685342852,0.014093188471288981,0.015185758583843864,0.01564107800747483,0.01926138224049812,0.020710766925261442,0.01689105290718628,0.01843752650351136,0.018014804390497043,0.018212584915983394,0.018074900521393274,0.011428106103365695,0.01678086721931018,0.020944123848496674,0.02101384937992549,0.020028032841652443,0.02177628103884688,0.02094373261631617,0.02068371674106975,0.020473262069485396,0.026461106878395233
549,0.02861354658174242,0.008933777316819318,0.015588828631951492,0.014391717749191667,0.03296802126386802,0.017170224409837807,0.01636658042156478,0.03261620850970582,0.02180204135265042,0.03035425010964007,0.01852188099921861,0.019050426090077552,0.016726590537443214,0.01245018329952681,0.010544061310896967,0.011322982163888856,0.013858441437063586,0.014943334551158698,0.015400678565132046,0.018973620595722378,0.02041658754955262,0.016644278431790647,0.018103891484352576,0.017690144018128986,0.017923038672886932,0.017782408159834052,0.011257092552329371,0.0165255572451052,0.021102932504087298,0.021262427843858036,0.02028954283101574,0.02213534414560944,0.021358795695589013,0.02116493308295907,0.020946449587302934,0.026925849675281565
552,0.028387658620142153,0.008437977563184167,0.015127823597603722,0.013796288360920467,0.032516721674650986,0.017161747410676786,0.01631468250623754,0.03215751888169906,0.021409892187707603,0.029554740163234495,0.017899460846401174,0.018460310876419184,0.016350902665907864,0.01205789247437288,0.010192447686124448,0.010959036632795413,0.013553335154950233,0.014629523117057794,0.01508409037447117,0.018581305088976326,0.020017412943619067,0.016311358699856365,0.01767911224862648,0.017275082699991697,0.017540174992471087,0.01740203743812206,0.011027665943147982,0.016190191431574342,0.021069671744636212,0.02129407460298344,0.02035472923032528,0.022258158544604986,0.021547063382970133,0.021408839743184204,0.021196262934053012,0.02710997265249747
555,0.028518036161897853,0.008104298979182103,0.014908062151781126,0.013434100096068713,0.03246259275850413,0.017389423910172907,0.016490068295596863,0.0321518403332442,0.021337626687127638,0.029176934189037093,0.0175000623593972,0.01816503534933684,0.016203221613337895,0.011853928464921776,0.009993199231997239,0.01075705198780228,0.013436239244867892,0.014525616041216454,0.01498027146221786,0.018450266786838403,0.019896723298342744,0.016204827700165746,0.017502999783588418,0.017103107108543986,0.01740181113403106,0.017267906385946087,0.010952165331017005,0.016085461104681162,0.021229775195444937,0.021500295512386573,0.020595271689799573,0.022558760508134764,0.02189638819985424,0.02180528615241828,0.02159902756102606,0.027518875108408267
557,0.028646550485427122,0.007800172110558004,0.014714566232172984,0.013118171840529354,0.03238773450592955,0.01762879615246997,0.016662316288979663,0.032137355782679025,0.021314029158986357,0.028872043593644817,0.017193677416327956,0.01794520384243481,0.01598421232707696,0.011692930570733876,0.00982865803275557,0.010586737626873528,0.01335030655949682,0.014464515040354354,0.014916727539031845,0.018380481993686686,0.019825018629311346,0.016138605820278,0.017372125711787697,0.01697699756863159,0.017307509674934975,0.017178219081594587,0.010904517470339974,0.016023626152165595,0.021351692486346396,0.021658434250004566,0.020791210220720106,0.022813500680837658,0.022172568069387055,0.022132897535760962,0.021920003097553167,0.027881438875050697
560,0.02889415098178226,0.007552488444465037,0.014591720266653403,0.012883307181403403,0.03243234198483982,0.017941637525566795,0.01689451814150237,0.03224813373683458,0.02138585887857865,0.028745182735342614,0.01703581369396395,0.01783420488728235,0.01574915952829584,0.011610140719537573,0.009736481581256892,0.0104885452840025,0.013345127503168883,0.014493404829654723,0.014944219829527289,0.0184285275615688,0.01987184469434749,0.01616846308783568,0.0173484764813,0.016957436114973308,0.01731753340426196,0.017191755966842956,0.010922874550681373,0.01605744525184313,0.02155790466018092,0.02189604979191625,0.021054923055724106,0.023141603062621433,0.022500019244735627,0.022514705213887362,0.022284787067760894,0.028341003804844975
562,0.028942065461553444,0.007270737253506916,0.014357241249971094,0.012557326695071792,0.03223915880776957,0.01811865719520824,0.017004234268719005,0.03214081115697461,0.021257545298193514,0.02843952516989097,0.016780108966704933,0.017568604636007908,0.015332547657057296,0.011453258686053456,0.009597526770566987,0.010334780770929588,0.013257372766508131,0.014426067701700726,0.01487341408701208,0.018349631134571734,0.019788174327671174,0.016090594555716622,0.017214549559150798,0.016831564666128902,0.01721329624507012,0.017091003540242525,0.010869860729818388,0.015981629455138154,0.021644353707319645,0.02200736735222387,0.02117891599746588,0.023306363876740833,0.02266500112490907,0.022732473598398275,0.022487378518702843,0.02860538835108125
565,0.028720471346134098,0.006944748339771536,0.01398774402881878,0.012120364927447148,0.0317203609734392,0.01811164674708182,0.017003824774589803,0.031772562922219104,0.020869211930298222,0.027858155276418627,0.01634580460436303,0.01708710003035598,0.014773245028654722,0.011196610109661328,0.009390888988119198,0.01009973770601786,0.01304776551653195,0.014214775547377248,0.01465412732652124,0.018077598549811585,0.01950380733926331,0.01585141725817301,0.016907994672295024,0.016537790974964658,0.01693307129120691,0.016814376783206565,0.010705933104140496,0.015739418557723487,0.021557100195274664,0.021930858819387288,0.021113522780287074,0.02325594402907449,0.022618287410039704,0.02272648045008398,0.022480541090566606,0.028610563413399306
567,0.02834455666330465,0.006613877166884584,0.01356077225589752,0.01164403901017515,0.030992734390399297,0.01798791572454437,0.01701703232149574,0.03130451516044583,0.020309957866069622,0.027091766931674765,0.015769775897960865,0.016456684451974853,0.014223512613083982,0.010895601228080478,0.009160211914729858,0.009827491363100235,0.012764558516516235,0.01390766594875545,0.01433433946729558,0.017669209632814598,0.019077432169121313,0.015503701057474936,0.016478614684031005,0.01612407296486961,0.016527777726532557,0.0164121410099452,0.010462332917239548,0.015379189090571706,0.021370665382172457,0.021735202861916894,0.02093772535496328,0.02308204104410268,0.02244690400991319,0.022573115608116444,0.022351525887872373,0.02846952859413436
570,0.027973069134672825,0.0062828784212255115,0.013139429187850507,0.011173948416482282,0.030206732259152037,0.017839958368005168,0.017070779803072735,0.030838415660638187,0.019673162641565264,0.026287096865720977,0.01516750329166226,0.015774147423579372,0.013717341055733223,0.010612864016164368,0.008946609843775143,0.009570995743597604,0.012476301031614293,0.013576617131703507,0.013989478155210046,0.017218451494711857,0.01860777362807924,0.015131344624644267,0.01600891544336194,0.015671737285738948,0.016082627831270287,0.015968376008124847,0.010193306313325856,0.014979761534219373,0.02120180648948324,0.021553561730910904,0.02076770437820897,0.022906552266274735,0.022271559193856077,0.02240409789132271,0.022226955081910905,0.02834449530102398
572,0.027034712848079952,0.005797876666846733,0.012448569341134008,0.010472430115276096,0.028739333135483783,0.01729070540452322,0.01671796033027541,0.02965774275639915,0.01854828123147936,0.02492425830512847,0.014285217897713646,0.014750684423649922,0.012919777178825467,0.010138401148621077,0.008559417285019357,0.00913792762189469,0.011930807318419237,0.012945321464166812,0.013336909691489134,0.016379025606763326,0.01771750711555192,0.014430530113738984,0.015174347411564456,0.014863576301051869,0.015272437244300288,0.015160001922570875,0.009693005641218553,0.014237025716685937,0.020615119566241326,0.02096105592342923,0.02017782262409306,0.02225155168213902,0.021631572627330273,0.02176871648044407,0.021652286412694628,0.027652657227809605
575,0.026174098921932534,0.005329543296273379,0.01180634092048239,0.009829808788815885,0.02731706841090937,0.0167503345462264,0.016370847896280728,0.028487289573920747,0.017403589303460018,0.023606888893889805,0.01349471199814652,0.01383140418086418,0.012166478177547457,0.009721589003414655,0.008207936871501526,0.008751165566435843,0.011415618174669115,0.012327503280908179,0.012700322893969895,0.015541350168057732,0.01683040724729326,0.013746248133618627,0.014341937776788851,0.014058491179702027,0.014460663470892157,0.014350787556824996,0.009194264716260414,0.013491648845355173,0.02012651849585674,0.020477704058361378,0.019675472736156774,0.02167950230199417,0.021083040491780992,0.021219023609295114,0.021182274956974088,0.027077046466508672
577,0.024641873993421784,0.004770394800201846,0.010904633888662635,0.009014853216565291,0.02522026911419624,0.015741532181168277,0.01559024283158231,0.02656438924627863,0.01578769076304516,0.021678846985141862,0.012436233466787029,0.01271860560455694,0.011155391948059918,0.009093249108074282,0.007666441171716493,0.008167099463560762,0.010610401491288914,0.011382044337036896,0.011728178240302537,0.014268598527384567,0.015474954418735904,0.012691351162187796,0.013116340143486947,0.012867944482145186,0.013241934751360401,0.013141623920672859,0.008441194085037606,0.012367466959649286,0.019182443796663017,0.019530799832721397,0.018721437603721244,0.020603187830061605,0.020062690856686365,0.02017869326111481,0.020245617111089933,0.025859949358573824
580,0.023102717477117642,0.004265941318221311,0.010061346378610217,0.0082847412021559,0.023203143746272133,0.014698691947209273,0.014781574864417245,0.024715821269768096,0.014187694288855449,0.01976280331785231,0.011445205674919866,0.011748139707018249,0.010203927803948035,0.008513698028827787,0.007154173337611233,0.007618398108255436,0.009815271411909242,0.010440827576378679,0.01076109134882226,0.012974127483416623,0.014096921320748114,0.01162875983585719,0.011884201344230036,0.01167060650518879,0.012007162007234638,0.011919591005407284,0.00768197738804094,0.011229111823677166,0.018295357813135425,0.018635342148900454,0.017806560826542417,0.019576274305436188,0.019100702656937564,0.01918863396886486,0.019371390267808476,0.02466979194853309
